Team_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612737.0,3.91,8.32,0.44,1.21,3.23,0.27,1.72,2.11,0.43,0.94,3.17,4.11,2.31,0.68,0.4,1.07,1.74,10.76
1610612738.0,3.84,8.27,0.43,1.27,3.53,0.27,1.6,1.97,0.42,0.98,3.34,4.32,2.36,0.7,0.54,1.26,1.73,10.56
1610612739.0,4.02,8.55,0.42,1.2,3.36,0.24,1.71,2.22,0.47,1.03,3.39,4.42,2.39,0.69,0.43,1.31,1.69,10.95
1610612740.0,3.67,8.07,0.43,0.95,2.92,0.24,1.77,2.22,0.47,1.11,3.13,4.24,2.42,0.77,0.38,1.27,1.89,10.07
1610612741.0,4.23,8.81,0.45,1.08,2.93,0.27,1.78,2.16,0.41,0.84,3.38,4.22,2.45,0.72,0.41,1.24,1.86,11.31
1610612742.0,3.57,7.69,0.43,1.14,3.26,0.24,1.52,1.95,0.38,0.9,3.13,4.02,2.06,0.6,0.38,1.06,1.79,9.8
1610612743.0,3.89,8.0,0.43,1.15,3.29,0.29,1.54,1.93,0.43,0.84,3.28,4.12,2.64,0.68,0.35,1.26,1.8,10.47
1610612744.0,3.64,7.79,0.44,1.29,3.55,0.25,1.4,1.83,0.39,0.88,3.21,4.1,2.45,0.79,0.41,1.29,1.88,9.98
1610612745.0,3.59,7.87,0.43,1.27,3.6,0.29,1.57,2.2,0.44,0.89,2.98,3.87,2.09,0.68,0.43,1.39,1.9,10.02
1610612746.0,3.84,8.46,0.44,1.18,3.23,0.26,1.45,1.86,0.46,0.93,3.37,4.3,2.31,0.7,0.46,1.27,1.85,10.31
1610612747.0,4.16,8.86,0.44,1.19,3.41,0.26,1.68,2.28,0.42,0.96,3.51,4.47,2.49,0.78,0.52,1.42,1.97,11.19
1610612748.0,3.96,8.47,0.44,1.35,3.56,0.26,1.74,2.15,0.42,0.98,3.4,4.38,2.56,0.74,0.32,1.39,2.05,11.02
1610612749.0,4.12,8.85,0.41,1.4,3.81,0.3,1.8,2.31,0.4,0.96,3.52,4.48,2.41,0.76,0.38,1.31,1.66,11.43
1610612750.0,3.69,8.07,0.42,1.31,3.67,0.26,1.6,2.05,0.44,0.99,2.91,3.9,2.27,0.78,0.49,1.21,1.93,10.28
1610612751.0,3.89,8.29,0.43,1.09,3.05,0.23,1.78,2.16,0.4,0.89,3.2,4.09,2.55,0.66,0.5,1.26,1.88,10.64
1610612752.0,3.67,8.41,0.42,1.29,3.61,0.24,1.74,2.34,0.44,1.13,3.39,4.52,2.14,0.67,0.47,1.2,2.0,10.37
1610612753.0,3.8,8.72,0.41,1.2,3.62,0.29,1.55,1.96,0.46,0.89,3.49,4.38,2.33,0.66,0.45,1.36,1.92,10.35
1610612754.0,3.98,8.67,0.42,1.15,3.4,0.28,1.58,2.09,0.42,1.16,3.23,4.4,2.19,0.69,0.56,1.27,1.99,10.7
1610612755.0,4.08,8.6,0.44,1.19,3.19,0.28,1.84,2.29,0.4,0.9,3.4,4.3,2.22,0.78,0.55,1.14,1.98,11.18
1610612756.0,4.41,9.06,0.45,1.18,3.24,0.25,1.6,1.98,0.46,0.94,3.55,4.48,2.69,0.83,0.43,1.2,1.91,11.6
1610612757.0,3.85,8.55,0.43,1.34,3.72,0.26,1.61,2.11,0.42,0.96,3.17,4.14,2.23,0.79,0.45,1.29,2.03,10.64
1610612758.0,4.24,9.03,0.45,1.16,3.31,0.24,1.75,2.32,0.45,0.98,3.29,4.28,2.56,0.74,0.45,1.4,1.92,11.4
1610612759.0,3.93,8.36,0.44,1.02,2.89,0.23,1.39,1.84,0.42,1.02,3.1,4.12,2.48,0.68,0.44,1.11,1.69,10.26
1610612760.0,3.7,8.63,0.41,1.15,3.58,0.28,1.5,1.97,0.39,0.99,3.39,4.38,2.19,0.73,0.44,1.3,1.74,10.05
1610612761.0,4.02,9.05,0.4,1.17,3.38,0.24,1.62,2.12,0.44,1.29,3.13,4.42,2.23,0.87,0.44,1.17,1.94,10.83
1610612762.0,3.86,8.24,0.44,1.36,3.82,0.24,1.69,2.19,0.44,1.01,3.36,4.37,2.14,0.68,0.46,1.25,1.79,10.78
1610612763.0,3.86,8.38,0.44,1.02,2.9,0.24,1.51,2.05,0.39,1.26,3.11,4.36,2.31,0.86,0.58,1.11,1.75,10.26
1610612764.0,3.79,7.99,0.46,1.01,2.93,0.25,1.63,2.1,0.46,0.84,3.13,3.97,2.22,0.58,0.44,1.15,1.75,10.22
1610612765.0,3.66,8.51,0.41,1.1,3.36,0.25,1.71,2.16,0.48,1.04,3.1,4.14,2.27,0.73,0.46,1.29,2.09,10.13
1610612766.0,4.19,9.03,0.44,1.37,3.77,0.25,1.49,2.01,0.43,1.03,3.33,4.36,2.87,0.87,0.49,1.28,1.94,11.24
